"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Lavender 40/42 Essential Oil","HBNO inc","Blend",435,71573.29,-438.93,-5.4,71128.96,1620.73,72749.69
"Peppermint Essential Oil","HBNO inc","essential oil",321,68366.09,-244.44,-934.5,67187.15,1387.85,68575
"Rosemary Essential Oil","HBNO inc","essential oil",251,53201.98,-412.16,0,52789.82,1511.36,54301.18
"Cinnamon Bark Essential Oil","HBNO inc","Essential Oil",51,39619.03,-325.56,-995,38298.47,41.85,38340.32
"Lemongrass Essential Oil","HBNO inc","Essential Oil",282,33215.38,-300.56,-597.5,32317.32,828.68,33146
"Eucalyptus Globulus Essential Oil","HBNO inc","Essential Oil",239,31522.45,-344.64,-499,30678.81,619.74,31298.55
"Neossance Squalane","HBNO inc","essential oil",67,31209.42,-516.47,-648,30044.95,1014.6,31059.55
"Tea Tree Essential Oil","HBNO inc","essential oil",191,29521.61,-191.21,-9.99,29320.41,467.48,29787.89
"Frankincense Oil (Serrata)","HBNO inc","essential oil",113,28121.8,-76.78,0,28045.02,316.37,28361.39
"Peppermint Essential Oil Organic","HBNO inc","essential oil",117,24146.95,-636.85,-20,23490.1,245.79,23735.89
"Roman Chamomile Essential Oil","HBNO inc","Essential Oil",68,21497.71,-42.4,0,21455.31,893.37,22348.68
"Organic Rosemary Essential Oil","HBNO inc","essential oil",78,21584.93,-24.97,0,21559.96,79.46,21639.42
"Orange Essential Oil","HBNO inc","essential oil",190,19944.32,-248.31,-682,19014.01,720.44,19734.45
"Oregano Essential Oil","HBNO inc","Essential Oil",83,19278,-168.93,0,19109.07,294.88,19403.95
"Lime Essential Oil (Cold Pressed)","HBNO inc","Essential Oil",63,17852.1,-5.99,0,17846.11,1495.38,19341.49
"Lavender Essential Oil","HBNO inc","Essential Oil",126,18374.22,-146.14,-45,18183.08,520.39,18703.47
"Organic Frankincense Oil (Serrata)","HBNO inc","essential oil",92,22435.86,-73.38,-4393.49,17968.99,255.16,18224.15
"Clove Bud Essential Oil","HBNO inc","essential oil",153,17610.96,-202.35,-369.99,17038.62,716.45,17755.07
"Peppermint Essential Oil - Mentha Arvensis  (Cornmint)","HBNO inc","Carrier oil",123,16889,-178.96,-4,16706.04,641.9,17347.94
"Organic Jojoba Golden Carrier Oil","HBNO inc","Carrier oil",169,15006,-108.79,0,14897.21,511.52,15408.73
"Organic Lavender Essential Oil","HBNO inc","essential oil",155,14794.06,-147.68,-15,14631.38,510.17,15141.55
"Cedarwood Virginia Essential Oil","HBNO inc","Essential Oil",66,14179,-55.04,-55,14068.96,82.05,14151.01
"Alpha Bisabolol","HBNO inc","Chemical",40,18387.82,-297.61,-4409.2,13681.01,465.99,14147
"Pink Grapefruit Essential Oil","HBNO inc","essential oil",133,12828.78,-57.29,-5,12766.49,298.47,13064.96
"White Camphor Essential Oil","HBNO inc","essential oil",85,11793.8,-28.91,-8,11756.89,762.37,12519.26
"Organic Orange Essential Oil","HBNO inc","essential oil",127,12542.54,-101.19,-525,11916.35,149.51,12065.86
"Lemon Essential Oil","HBNO inc","essential oil",153,12214.63,-45.84,-525,11643.79,264.47,11908.26
"Patchouli Dark Essential Oil","HBNO inc","Essential Oil",38,11991.9,-500.04,-95,11396.86,123.55,11520.41
"Organic Lemon Essential Oil","HBNO inc","essential oil",78,13595.84,-79.14,-2335,11181.7,42.99,11224.69
"Geranium Essential Oil","HBNO inc","essential oil",80,10953.15,-58.19,-197.95,10697.01,420.41,11117.42
"Black Seed Carrier Oil (Organic)","HBNO inc","Carrier oil",87,11168.69,-52.28,-725,10391.41,413.6,10805.01
"Spearmint Essential Oil","HBNO inc","Essential Oil",108,10154.81,-57.39,-28,10069.42,376.25,10445.67
"Organic Rose Floral Water (Hydrosol)","HBNO inc","Floral Water",135,10188.9,-163,0,10025.9,209.92,10235.82
"Myrrh Essential Oil","HBNO inc","essential oil",32,9768.89,-252.63,-14.99,9501.27,297.75,9799.02
"Triethyl Citrate (TEC)","HBNO inc","Chemical",134,9485.6,-52.82,-40,9392.78,250.88,9643.66
"Ylang Ylang #3 Essential Oil","HBNO inc","Essential Oil",95,9537.98,-82.87,0,9455.11,124.39,9579.5
"Vetiver Essential Oil (Haiti)","HBNO inc","essential oil",21,9565.69,-60,-1610,7895.69,378.05,8273.74
"Organic Geranium Essential Oil","HBNO inc","essential oil",85,7605.89,-53.78,-19.99,7532.12,126.96,7659.08
"Frankincense Essential Oil | Carterii","HBNO inc","essential oil",43,7783.21,-128.2,-175,7480.01,72.05,7552.06
"Organic Clove Bud Essential Oil","HBNO inc","essential oil",41,7526.31,-43.22,0,7483.09,66.72,7549.81
"Organic Tea Tree Essential Oil","HBNO inc","essential oil",73,6793.34,-10.28,0,6783.06,176.17,6959.23
"Vetiver Essential Oil","HBNO inc","essential oil",23,6563.78,0,0,6563.78,383.62,6947.4
"Organic Cedarwood Essential Oil | Atlas","HBNO inc","essential oil",78,6810.4,-30.09,-59.95,6720.36,111.76,6832.12
"Copaiba Balsam Essential Oil","HBNO inc","Essential Oil",43,6385.18,-23.79,-7,6354.39,217.01,6571.4
"Australian Sandalwood Essential Oil","HBNO inc","essential oil",31,6238.99,-18.05,-238.99,5981.95,161.1,6143.05
"Synthetic Thymol Crystals","essentialnaturaloils.com",,13,5850,0,0,5850,0,5850
"Cedarwood Essential Oil | Himalaya","HBNO inc","Essential Oil",60,5585.32,-124.82,-7,5453.5,284.04,5737.54
"Lavandin Dutch Lavender Essential Oil","HBNO inc","essential oil",42,5633.35,-29.4,0,5603.95,31.27,5635.22
"Castor Carrier Oil Organic","HBNO inc","Carrier oil",132,5376,-48.48,-7.5,5320.02,254.69,5574.71
"HBNO™ Angel Citrus Blissful","HBNO inc","essential oil",10,5498.75,-9.89,0,5488.86,5.01,5493.87
"Thyme Essential Oil","HBNO inc","essential oil",16,5247.46,-82.12,0,5165.34,184.73,5350.07
"Organic Eucalyptus Globulus Essential Oil","HBNO inc","essential oil",80,5860.6,-39.11,-659.99,5161.5,173.56,5335.06
"Virgin Unrefined Organic Black Seed Carrier Oil (India)","HBNO inc","Carrier oil",38,5134.81,-28.77,0,5106.04,146.24,5252.28
"Sweet Fennel Essential Oil","HBNO inc","Essential Oil",26,4938.24,-45.73,0,4892.51,14.77,4907.28
"Organic Black Spruce Essential Oil","HBNO inc","essential oil",62,5084.43,-3.71,-262.83,4817.89,49.14,4867.03
"Texas Cedarwood Essential Oil","HBNO inc","Essential Oil",50,4656.86,-80.17,-30,4546.69,156.74,4703.43
"Organic Rosehip Seed Carrier Oil","HBNO inc","Carrier oil",79,4432.73,-15.76,0,4416.97,176.97,4593.94
"Cardamom Essential Oil","HBNO inc","essential oil",12,4494.95,-33.06,0,4461.89,31.52,4493.41
"Siberian Fir Needle Essential Oil","HBNO inc","Essential Oil",33,4751.29,-9.14,-380,4362.15,22.13,4384.28
"Ho Wood Essential Oil","HBNO inc","Essential Oil",48,4375.75,-10.71,0,4365.04,16.32,4381.36
"Organic Virgin Marula Carrier Oil","HBNO inc","Carrier oil",23,4208.57,-3.81,-93.7,4111.06,265.81,4376.87
"Basil Essential Oil (Organic)","HBNO inc","essential oil",15,4607.76,-12.38,-343,4252.38,115.33,4367.71
"Cypress Essential Oil","HBNO inc","Essential Oil",41,4243.11,-25.21,0,4217.9,22.88,4240.78
"Thyme White Essential Oil","HBNO inc","Essential Oil",53,4130.79,-17.69,0,4113.1,75.3,4188.4
"Tangerine Essential Oil","HBNO inc","Essential Oil",51,4180.09,-30.61,0,4149.48,35.08,4184.56
"Ginger Essential Oil","HBNO inc","Essential Oil",66,4115.23,-39.15,0,4076.08,56,4132.08
"Clary Sage Essential Oil","HBNO inc","essential oil",43,4082.77,-12.05,-9.99,4060.73,37.89,4098.62
"Organic Lemongrass Essential Oil","HBNO inc","essential oil",45,3927.01,-44.37,-10,3872.64,92.71,3965.35
"Cinnamon Leaf Essential Oil","HBNO inc","essential oil",61,3898.51,-33.4,-25,3840.11,69.48,3909.59
"Organic Tamanu Carrier Oil (Virgin)","HBNO inc","Carrier oil",57,3755.96,-5.51,0,3750.45,33.31,3783.76
"Pine Needle Essential Oil","HBNO inc","Essential Oil",88,3768.91,-78.57,0,3690.34,86.27,3776.61
"Organic Cinnamon Bark Essential Oil","HBNO inc","essential oil",18,5024.33,-3.55,-1425,3595.78,22.47,3618.25
"Jasmine Sambac Absolute","HBNO inc","Absolute",5,3520,0,0,3520,18.9,3538.9
"Organic Argan Carrier Oil","essentialnaturaloils.com",,48,3502.8,-5.1,0,3497.7,38.59,3536.29
"Batana Carrier Oil","essentialnaturaloils.com","Carrier oil",27,3496.92,-20.37,0,3476.55,36.73,3513.28
"Palmarosa Essential Oil","HBNO inc","Essential Oil",44,3392.45,-19.5,0,3372.95,124.8,3497.75
"Sandalwood New Caledonia Essential Oil","HBNO inc","essential oil",7,4002,-29.6,-591.98,3380.42,99.88,3480.3
"Organic Oregano Essential Oil","HBNO inc","essential oil",16,3345.07,-10.11,-40.49,3294.47,24.4,3318.87
"Organic Ginger Essential Oil","HBNO inc","essential oil",18,3347.53,-5.65,-354.95,2986.93,72.66,3059.59
"Organic Fractionated Coconut (MCT) Carrier Oil","HBNO inc","Carrier oil",52,2904.35,-23.83,0,2880.52,163.74,3044.26
"Citronella Essential Oil","HBNO Bulk","Essential Oil",28,2989.93,0,0,2989.93,52.19,3042.12
"Organic Balsam Fir Bark Essential Oil","HBNO Bulk","Essential Oil",19,2991.18,-4,0,2987.18,13.4,3000.58
"Wintergreen Essential Oil","HBNO inc","essential oil",30,2876,-7.61,0,2868.39,111.23,2979.62
"Lemon Eucalyptus Essential Oil","HBNO inc","essential oil",39,2793.01,-8.48,0,2784.53,120.98,2905.51
"Litsea Cubeba May Chang Essential Oil","HBNO inc","Essential Oil",33,2743.71,-5.18,-12.99,2725.54,97.46,2823
"Organic Helichrysum Italicum Essential Oil","HBNO inc","essential oil",19,2895.57,-56.34,-150,2689.23,78.91,2768.14
"Sweet Marjoram Essential Oil","HBNO inc","essential oil",29,2555.17,-4.16,0,2551.01,112.04,2663.05
"Refined Jojoba Carrier Oil","HBNO inc","Carrier",20,2551.88,-61.86,0,2490.02,120.05,2610.07
"Mandarin Essential Oil","HBNO inc","essential oil",18,2601.64,-10.97,0,2590.67,5.34,2596.01
"Almond California Carrier Oil (Refined)","HBNO inc","Carrier oil",27,2463,-91.16,0,2371.84,162.01,2533.85
"Nutmeg Essential Oil","HBNO inc","Essential Oil",27,2465.69,-6.59,0,2459.1,27.91,2487.01
"Rose Absolute","HBNO inc","essential oil",15,2400,-32.5,-125,2242.5,110.83,2353.33
"Organic Blue Tansy Essential Oil","HBNO inc","essential oil",19,2350.23,-55,0,2295.23,29.6,2324.83
"Organic Apricot Kernel Carrier Oil","HBNO inc","Carrier oil",16,2345.99,-144,0,2201.99,47.05,2249.04
"Organic Balsam Fir Leaf Essential Oil","essentialnaturaloils.com","Essential Oil",13,2268.31,-59.26,-95.99,2113.06,135.66,2248.72
"Organic Prickly Pear Seed Carrier Oil","HBNO inc","Carrier oil",8,2644,0,-590,2054,185.79,2239.79
"Helichrysum Gymnocephalum Essential Oil","HBNO inc","essential oil",55,2191.71,-21.2,0,2170.51,40.94,2211.45
"Organic Lavandin Essential Oil","HBNO inc","essential oil",17,2197.94,-16.5,0,2181.44,8.01,2189.45
"Vitamin C Serum","HBNO inc","essential oil",13,2069.55,0,0,2069.55,93.41,2162.96
"Menthol Crystals (Natural)","essentialnaturaloils.com",,3,2100,0,0,2100,0,2100
"Jasmine Grandiflorum Absolute","HBNO inc","Absolute",24,3679.38,-29,-1775,1875.38,146.08,2021.46
"Organic Pumpkin Seed Carrier Oil","HBNO inc","Carrier oil",25,2049.82,-2.86,-49.67,1997.29,20.78,2018.07
"Garlic Essential Oil","HBNO inc","essential oil",12,1969.82,-7.17,0,1962.65,17.89,1980.54
"Laurel Leaf Essential Oil","HBNO inc","essential oil",16,1945.89,-6.27,0,1939.62,24.29,1963.91
"Juniper Berry Essential Oil","HBNO inc","Essential Oil",56,1897.37,-21.77,0,1875.6,44.89,1920.49
"Organic Hemp Seed Carrier Oil","HBNO inc","Carrier oil; Dietary Supplement",42,1894.93,-13.88,0,1881.05,33.89,1914.94
"Vanilla Fragrance","HBNO inc","essential oil",9,1759.99,0,0,1759.99,122.77,1882.76
"Black Pepper Essential Oil","HBNO inc","essential oil",28,1862.96,-17.2,0,1845.76,30.39,1876.15
"Carrot Seed Essential Oil","HBNO inc","Essential Oil",21,1839.8,-2.75,0,1837.05,16.89,1853.94
"Organic Clary Sage Essential Oil","HBNO inc","essential oil",27,1875,-49.2,0,1825.8,18.85,1844.65
"Rectified Organic Bergamot Essential Oil (BF)","HBNO inc","essential oil",21,1847.25,-74.35,0,1772.9,51.47,1824.37
"Organic Japanese Peppermint Essential Oil","HBNO inc","essential oil",10,2826.48,-1.5,-1122.99,1701.99,84.17,1786.16
"Cajeput Essential Oil","HBNO inc","essential oil",9,1744.44,-1.3,-38.58,1704.56,1.89,1706.45
"Organic Cinnamon Leaf Essential Oil","HBNO inc","essential oil",25,1722,-74.5,0,1647.5,54.97,1702.47
"Organic Baobab Carrier Oil (Virgin)","HBNO inc","Carrier oil",35,1815,-214.81,0,1600.19,85.05,1685.24
"Organic Wintergreen Essential Oil","HBNO inc","essential oil",20,1595.87,-10.5,0,1585.37,29.51,1614.88
"Cedar Leaf Essential Oil","HBNO inc","essential oil",4,1529.99,0,0,1529.99,71.75,1601.74
"Cedarwood Essential Oil","HBNO inc","Essential Oil",42,1577.52,-12.33,0,1565.19,30.65,1595.84
"Unrefined Organic Almond Carrier Oil","essentialnaturaloils.com",,29,1534,-3.71,0,1530.29,0,1530.29
"Clove Leaf Essential Oil","HBNO inc","essential oil",24,1463.11,-19.82,0,1443.29,43.8,1487.09
"Fractionated Coconut (MCT) Carrier Oil","HBNO inc","Carrier oil; Ditetary Supplement",20,1472,-19.51,0,1452.49,25.21,1477.7
"Organic Cardamom Essential Oil","HBNO inc","essential oil",18,2111.45,-3.88,-648.72,1458.85,13.39,1472.24
"Refined Grapeseed Carrier Oil","HBNO inc","Carrier",26,1384,-1.07,0,1382.93,51.09,1434.02
"Vitamin C","HBNO inc","Aromatic Chemical",7,1356.37,0,0,1356.37,37.2,1393.57
"Organic Frankincense Carterii Essential Oil","HBNO inc","essential oil",18,1650.01,-1.51,-320.5,1328,28.05,1356.05
"Eucalyptus Radiata Essential Oil (Organic)","HBNO inc","essential oil",40,1309.83,-12.79,0,1297.04,24.53,1321.57
"Organic Ylang Ylang Essential Oil","HBNO inc","essential oil",30,1331.28,-49.35,0,1281.93,32.38,1314.31
"Organic Neroli Essential Oil","HBNO inc","essential oil",14,1383.03,-72,-38,1273.03,30.55,1303.58
"Organic Roman Chamomile Essential Oil","HBNO inc","essential oil",9,1324.93,-53.03,-17.99,1253.91,22.43,1276.34
"Golden Jojoba Carrier Oil","HBNO inc","essential oil",19,1224.99,-0.6,0,1224.39,20.07,1244.46
"Organic Lemongrass Floral Water (Hydrosol)","HBNO inc","Floral Water",8,1158.96,-16.7,-13.98,1128.28,78.99,1207.27
"Organic Spearmint Essential Oil","HBNO inc","essential oil",19,1494.96,-14.96,-305.6,1174.4,10.55,1184.95
"Organic Evening Primrose Carrier Oil","HBNO inc","Carrier oil",29,1149.98,-34,0,1115.98,58.02,1174
"Thymol Crystals (Natural)","essentialnaturaloils.com",,1,2250,0,-1125,1125,0,1125
"Eucalyptus Radiata Essential Oil","HBNO inc","essential oil",13,1131.61,-19.5,0,1112.11,10.55,1122.66
"Sage Officinalis Essential Oil","HBNO inc","essential oil",16,1099.71,-6.41,0,1093.3,19.49,1112.79
"Neroli Essential Oil","HBNO inc","Essential Oil",21,1103.86,-13.39,-29.99,1060.48,38.45,1098.93
"Sunflower Seed Carrier Oil Organic","HBNO inc","essential oil",21,1082.97,-1.2,-24,1057.77,29.55,1087.32
"HBNO™ Angel Protection (Thieves)","HBNO inc","essential oil",28,1076,-5.01,0,1070.99,13.36,1084.35
"Chili Seed Essential Oil","HBNO inc","Essential oil",6,1000,-0.7,0,999.3,78.36,1077.66
"Paprika Oleoresin","HBNO inc","Oleoresin",15,1062.95,0,0,1062.95,10.77,1073.72
"Castor Carrier Oil","HBNO inc","Carrier",31,1030.9,-28.88,0,1002.02,46.84,1048.86
"USA Peppermint Essential Oil","essentialnaturaloils.com",,6,1096.98,-111.7,0,985.28,62.26,1047.54
"Star Anise Essential Oil","HBNO inc","essential oil",32,1167.72,-5.98,-140,1021.74,5.6,1027.34
"Turmeric Essential Oil","HBNO inc","Essential Oil",29,1562.9,-3.71,-599,960.19,29.66,989.85
"Vitamin E","essentialnaturaloils.com",,33,952.8,-1.3,-25.98,925.52,50.31,975.83
"Organic Patchouli Dark Essential Oil","HBNO inc","essential oil",12,2920.59,-17.56,-1943.04,959.99,1.8,961.79
"Manuka Essential Oil","HBNO inc","Carrier oil",2,1058.8,-1.89,-186.09,870.82,37.55,908.37
"Amyris Essential Oil","HBNO inc","essential oil",4,1347.17,-3,-447.62,896.55,1.89,898.44
"Organic Safflower Carrier Oil","HBNO inc","Carrier oil",21,855.98,-8.7,0,847.28,37.42,884.7
"Virgin Neem Carrier Oil","HBNO inc","Carrier",12,874,-27.3,0,846.7,26.5,873.2
"Sweet Basil Essential Oil","HBNO inc","essential oil",30,840.81,-9.34,0,831.47,13.66,845.13
"Mugwort Essential Oil","HBNO inc","Essential Oil",8,810.35,-2.5,-25,782.85,50.99,833.84
"Euro Black Dropper Cap","essentialnaturaloils.com",,1,810,0,0,810,0,810
"Sage Essential Oil","HBNO inc","Essential Oil",16,765.91,-12.51,0,753.4,26.8,780.2
"Lemon Natural Fragrance","essentialnaturaloils.com","Fragrance",8,729.97,-0.99,0,728.98,50.83,779.81
"Organic Deodorized Argan Carrier Oil","HBNO inc","Carrier",14,736.97,0,0,736.97,26.56,763.53
"Organic Lemon Eucalyptus Essential Oil","HBNO inc","essential oil",12,734.99,-4.94,0,730.05,31.18,761.23
