"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Moringa Seed Carrier Oil (Virgin)","HBNO inc","Carrier",2,58.09,0,0,58.09,0.98,59.07
"Vanilla Essential Oil Co2","HBNO inc","essential oil",1,118,0,-59,59,0,59
"Fennel Bitter Essential Oil","HBNO inc","essential oil",1,55.12,0,0,55.12,3.73,58.85
"Violet Fragrance Oil","HBNO inc","Fragrance",3,54.99,0,0,54.99,3.57,58.56
"African Bluegrass Essential Oil","HBNO inc","essential oil",1,80,-6.5,-15,58.5,0,58.5
"Blood Orange Essential Oil","HBNO inc","essential oil",4,54.96,-1.6,0,53.36,4,57.36
"Karanja Carrier Oil","HBNO inc","essential oil",5,51.39,0,0,51.39,4.64,56.03
"HBNO™ Angel Ultimate Hair","HBNO inc","essential oil",4,60,-4.51,0,55.49,0,55.49
"Pina Colada Fragrance","essentialnaturaloils.com","Fragrance",5,54.98,0,0,54.98,0,54.98
"Wellness Blend","essentialnaturaloils.com",,1,49.95,0,0,49.95,4.12,54.07
"Chai Tea Fragrance Oil","HBNO inc","Fragrance",3,50,0,0,50,3.8,53.8
"Carvacrol","essentialnaturaloils.com",,2,50.98,0,0,50.98,2.34,53.32
"alpha-Hexylcinnamaldehyde","HBNO Bulk","Aromatic Chemical",2,52.99,0,0,52.99,0,52.99
"Teakwood Fragrance","HBNO inc","Fragrance",4,49.98,-2.5,0,47.48,3.52,51
"Forest Pine Fragrance","HBNO inc","Fragrance",4,59.97,0,-9.99,49.98,0.77,50.75
"Cucumber Natural Fragrance","HBNO inc","Fragrance",7,49.97,-0.5,0,49.47,0.83,50.3
"Coconut Milk Fragrance Oil","essentialnaturaloils.com","Fragrance",3,50,0,0,50,0,50
"Pineapple Mango Body Oil Spray","HBNO inc","essential oil",5,49.95,0,0,49.95,0,49.95
"Polysorbate 20","essentialnaturaloils.com",,2,48.98,0,0,48.98,0,48.98
"Coffee & Creamer Fragrance","essentialnaturaloils.com","Fragrance",2,45,-0.5,0,44.5,3.1,47.6
"Papaya Fragrance Oil","essentialnaturaloils.com","Fragrance",2,49.99,-4,0,45.99,0,45.99
"Nourishing Gentle Facial Serum","HBNO Bulk","Essential Oil",4,45.96,0,0,45.96,0,45.96
"Black dropper assembly with rubber bulb and glass pipette (matching 60 ml boston round) - 1 Unit @ $0.25 Per Dropper","HBNO inc","essential oil",163,41.6,0,0,41.6,3.56,45.16
"Black Spruce Fragrance","essentialnaturaloils.com","Fragrance",5,44.96,0,0,44.96,0,44.96
"Fresh Bamboo Fragrance","HBNO inc","Fragrance",4,44.99,-1,0,43.99,0.85,44.84
"HBNO™ Angel Calming","HBNO inc","essential oil",2,42,-1.2,0,40.8,3.5,44.3
"Walnut oil, REFINED","HBNO inc","essential oil",1,44.09,0,0,44.09,0,44.09
"Juniper Berry Fragrance","essentialnaturaloils.com","Fragrance",1,40,0,0,40,2.9,42.9
"Eucalyptus Radiata Natural Fragrance","essentialnaturaloils.com","Fragrance",1,40,0,0,40,2.9,42.9
"Peony Fragrance","HBNO inc","Fragrance",1,40,0,0,40,2.8,42.8
"4 oz (120 ml) Blue Boston Glass Bottle","essentialnaturaloils.com","Essential Oil",7,336,0,-294,42,0.43,42.43
"HBNO™ Garden Dreams (Pure Essential Oil Blend)","HBNO inc","essential oil",4,41.5,0,0,41.5,0.6,42.1
"4 oz (120 ml) Orange Boston Glass Bottle","essentialnaturaloils.com",,12,41.76,0,0,41.76,0,41.76
"Pumpkin Pie Fragrance","HBNO inc","Fragrance",4,40.99,-0.4,0,40.59,1.01,41.6
"8 Gallon (30 liters) Blue HDPE Plastic Container with Tamper Evident Cap @ $20.25","HBNO inc","essential oil",2,40.5,0,0,40.5,0,40.5
"Organic Fair Trade Tea Tree Essential Oil","HBNO Bulk","Essential oil",3,38.97,-1.17,0,37.8,2.36,40.16
"Sunflower Carrier Oil (RBDW)","HBNO inc","Carrier oil",1,40,0,0,40,0,40
"Kiwi Fragrance Oil","essentialnaturaloils.com","Fragrance",3,39.99,0,0,39.99,0,39.99
"Meditation Essential Oil Blend","essentialnaturaloils.com",,1,35.99,0,0,35.99,2.69,38.68
"Cananga Essential Oil","HBNO inc","essential oil",2,38,0,0,38,0.6,38.6
"HBNO™ Angel Goodnight","HBNO inc","essential oil",1,35,0,0,35,3.2,38.2
"Red Apple Fragrance","HBNO inc","Fragrance",5,34.98,0,0,34.98,1.39,36.37
"Fresh Cut Grass Fragrance","HBNO inc","Fragrance",5,34.98,0,0,34.98,0.75,35.73
"HBNO™ Angel Bedtime","HBNO inc","essential oil",1,35,0,0,35,0,35
"Shredded Coconut Fragrance","essentialnaturaloils.com","Fragrance",3,35,0,0,35,0,35
"Angelica Root Fragrance","HBNO inc","Fragrance",2,34.99,0,0,34.99,0,34.99
"Strength, Energy, & Vitality Blend","essentialnaturaloils.com",,2,32.98,-0.7,0,32.28,2.58,34.86
"HBNO Tropical Blend Fragrance","HBNO inc","Fragrance",2,34.99,-0.99,0,34,0,34
"Clean and Fresh Natural Fragrance","HBNO inc","Fragrance",4,29.98,0,0,29.98,1.78,31.76
"Fenugreek Leaf Essential Oil","HBNO inc","Essential Oil",3,30,0,0,30,1.46,31.46
"Sage Fragrance","essentialnaturaloils.com","Fragrance",3,29.97,0,0,29.97,0.81,30.78
"Sugar Cookies Fragrance","HBNO inc","Fragrance",2,30,0,0,30,0.3,30.3
"Mandarin Fragrance","essentialnaturaloils.com","Fragrance",2,30,0,0,30,0,30
"HBNO™ Angel Eczema Away","HBNO inc","essential oil",1,30,0,0,30,0,30
"Cotton Candy Fragrance","essentialnaturaloils.com","Fragrance",3,29.97,0,0,29.97,0,29.97
"Garlic Fragrance","essentialnaturaloils.com","Fragrance",3,29.97,0,0,29.97,0,29.97
"Rosehip Seed Carrier Oil","essentialnaturaloils.com",,3,25.99,0,0,25.99,2.32,28.31
"Heart Detox Blend","essentialnaturaloils.com",,1,25.99,0,0,25.99,2.14,28.13
"Evening Primrose Carrier Oil","HBNO inc","essential oil",2,40,-12,0,28,0,28
"Clear Glass Boston Round Bottle 2 oz (60 ml)","essentialnaturaloils.com",,8,27.84,0,0,27.84,0,27.84
"8 oz (240 ml) Amber PET Bottle","essentialnaturaloils.com",,1,26,0,0,26,1.82,27.82
"Apricot Fragrance","HBNO inc","Fragrance",1,25,0,0,25,2.32,27.32
"Moon Ray Night Facial Serum","HBNO Bulk","Essential Oil",2,25.98,0,0,25.98,0,25.98
"Amyl Salicylate","HBNO Bulk","Aromatic Chemical",2,25.98,0,0,25.98,0,25.98
"Organic Deep Love Blend","essentialnaturaloils.com",,1,35.98,-3.61,-8.99,23.38,2.39,25.77
"Brown Sugar Fragrance","essentialnaturaloils.com","Fragrance",4,24.99,0,0,24.99,0.49,25.48
"Tobacco Vanilla Fragrance Oil","HBNO inc","Fragrance",1,34.99,-3.5,-9,22.49,2.58,25.07
"Cucumber Melon Fragrance","HBNO inc","Fragrance",1,25,0,0,25,0,25
"Honeysuckle Fragrance","HBNO inc","Fragrance",1,25,0,0,25,0,25
"Stress Relief Essential Oil Blend","essentialnaturaloils.com",,3,23.97,-0.7,0,23.27,1.21,24.48
"Real Love Blend","essentialnaturaloils.com",,2,22.98,-0.69,0,22.29,0.44,22.73
"Organic Meditation Blend","essentialnaturaloils.com",,2,22.98,-2.28,0,20.7,1.91,22.61
"HBNO™ Perfect Evening (Pure Organic Essential Oil Blend)","HBNO inc","essential oil",1,22,0,0,22,0,22
"Organic Cherry Kernel Carrier Oil","HBNO inc","Carrier oil",2,22,-1.1,0,20.9,0.98,21.88
"Oak Fragrance","HBNO inc","Fragrance",3,19.99,0,0,19.99,1.5,21.49
"Green Cognac Essential Oil","HBNO inc","essential oil",1,19.99,0,0,19.99,1.35,21.34
"Wisteria Scent","HBNO inc","Fragrance",3,19.99,0,0,19.99,1.06,21.05
"Cinnamon Bark Natural Fragrance","essentialnaturaloils.com","Fragrance",2,19.98,0,0,19.98,0.92,20.9
"Berries & Cream Natural Fragrance","HBNO inc","Fragrance",3,19.99,0,0,19.99,0.77,20.76
"Smoke Fragrance","HBNO inc","Fragrance",2,19.98,0,0,19.98,0.67,20.65
"HBNO™ Smooth Breath (Pure Organic Essential Oil Blend)","HBNO inc","essential oil",1,20,0,0,20,0,20
"Melissa (Lemon Balm) Fragrance","HBNO inc","Fragrance",1,20,0,0,20,0,20
"Helichrysum Italicum Oil 3% in Jojoba","HBNO inc","essential oil",1,20,0,0,20,0,20
"HBNO™ Angel Cellulite","HBNO inc","essential oil",1,20,0,0,20,0,20
"Intense Anti-Aging & Moisturizing Facial Serum","HBNO Bulk","Essential Oil",2,199.98,0,-180,19.98,0,19.98
"4-tert-Butylcyclohexyl acetate","HBNO Bulk","Aromatic Chemical",2,19.98,0,0,19.98,0,19.98
"Island Vibes Blend","essentialnaturaloils.com",,2,19.98,0,0,19.98,0,19.98
"Frosted Cupcake Natural Fragrance","HBNO inc","Fragrance",2,19.98,0,0,19.98,0,19.98
"2 oz (60 ml) Purple Boston Glass Bottle","essentialnaturaloils.com",,5,17.4,0,0,17.4,1.23,18.63
"Rose Floral Water ORGANIC","HBNO inc","essential oil",1,18,0,0,18,0,18
"32 oz (960 ml) Amber Boston Glass Bottle","essentialnaturaloils.com",,1,18,0,0,18,0,18
"Organic Copaiba Balsam Essential Oil","HBNO inc","essential oil",1,19,-1.44,0,17.56,0,17.56
"HBNO™ Angel Silky Smooth","HBNO inc","essential oil",1,16,0,0,16,1.06,17.06
"Deep Breathe Release Blend","essentialnaturaloils.com",,2,16.98,-1,0,15.98,0.63,16.61
"Organic Fair Trade Eucalyptus Radiata Essential Oil","essentialnaturaloils.com","Essential oil",1,63.96,-1.17,-47.97,14.82,1.04,15.86
"Organic Balance Blend","essentialnaturaloils.com",,1,15.99,-1.6,0,14.39,1.47,15.86
"Peanut Butter Cookies Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.77,15.76
"Harvest Spice Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.77,15.76
"Hot Chocolate Fragrance Oil","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.77,15.76
"Pecan Pie Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.77,15.76
"Gingerbread Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.77,15.76
"Scotch Whiskey Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.67,15.66
"Magnolia Fragrance","HBNO inc","Fragrance",2,14.99,0,0,14.99,0.36,15.35
"Onion Essential Oil","HBNO inc","Essential Oil",1,15,0,0,15,0,15
"Berries & Strawberry Natural Fragrance","essentialnaturaloils.com","Fragrance",2,14.99,0,0,14.99,0,14.99
"Vanilla Coconut Natural Fragrance","essentialnaturaloils.com",,2,14.99,0,0,14.99,0,14.99
"Moringa Kenya Carrier Oil Organic","essentialnaturaloils.com",,1,14.99,0,0,14.99,0,14.99
"Watermelon Fragrance","HBNO Bulk","Fragrance",2,14.99,0,0,14.99,0,14.99
"Fir Needle Natural Fragrance","essentialnaturaloils.com","Fragrance",2,154.99,-1,-140,13.99,0.63,14.62
"1 oz (30 ml) Red Boston Glass Bottle","essentialnaturaloils.com",,4,13.92,0,0,13.92,0.54,14.46
"White Cypress Essential Oil","HBNO inc","essential oil",1,12.99,0,0,12.99,1.13,14.12
"Lavender Face Serum","HBNO Bulk","Essential Oil",2,13.98,0,0,13.98,0,13.98
"Minty Citrus Bloom Blend","essentialnaturaloils.com",,2,13.98,0,0,13.98,0,13.98
"Gamma Decalactone","HBNO Bulk","Aromatic Chemical",1,12.99,0,0,12.99,0,12.99
"Avocado Carrier Oil Refined Organic","HBNO inc","Carrier oil",1,12,0,0,12,0.81,12.81
"HBNO™ Angel Peaceful","HBNO inc","essential oil",1,12,-1.2,0,10.8,0.76,11.56
"Balsam Natural Fragrance","HBNO inc","Fragrance",1,9.99,0,0,9.99,0.77,10.76
"Camphor Fragrance","essentialnaturaloils.com","Fragrance",1,9.99,0,0,9.99,0.72,10.71
"Mineral Oil 70","HBNO inc","Carrier oil",1,11.02,-1.11,0,9.91,0.67,10.58
"Gun Fragrance","HBNO inc","Fragrance",2,10,0,0,10,0.49,10.49
"Apple Fragrance","HBNO inc","Fragrance",2,10,0,0,10,0,10
"Basil Natural Fragrance","essentialnaturaloils.com",,2,10,0,0,10,0,10
"Cranberry Fragrance","HBNO inc","Fragrance",2,10,0,0,10,0,10
"HBNO™ Angel Breathe","HBNO inc","essential oil",1,10,0,0,10,0,10
"Mace Essential Oil","HBNO inc","essential oil",1,10,0,0,10,0,10
"Cream Cheese Vanilla Frosting Fragrance","HBNO inc","Fragrance",2,10,0,0,10,0,10
"Linalyl Acetate Synthetic","HBNO inc","Aromatic Chemical",1,9.99,0,0,9.99,0,9.99
"Maple Syrup Fragrance","HBNO inc","Fragrance",1,9.99,0,0,9.99,0,9.99
"Ultra-Moisturizing Facial Serum with Vitamin C","HBNO inc","essential oil",1,9.99,0,0,9.99,0,9.99
"Antioxidant Facial Serum","HBNO inc","essential oil",1,9.99,0,0,9.99,0,9.99
"Lotus Blossom Scent","HBNO inc","Fragrance",1,9.99,0,0,9.99,0,9.99
"Almond Fragrance","essentialnaturaloils.com",,1,9.99,0,0,9.99,0,9.99
"Anise Fragrance","essentialnaturaloils.com","Fragrance",1,9.99,0,0,9.99,0,9.99
"Ylang Ylang Fragrance","HBNO inc","Fragrance",1,9.99,0,0,9.99,0,9.99
"Visualize & Create Blend","essentialnaturaloils.com",,1,9.99,-1,0,8.99,0.63,9.62
"Chic Rose Natural Fragrance","HBNO inc","Fragrance",1,9.99,-1,0,8.99,0,8.99
"White Musk Fragrance","HBNO inc","Fragrance",1,9.99,-1,0,8.99,0,8.99
"Night Air Fragrance","HBNO inc","Fragrance",1,9.99,-1,0,8.99,0,8.99
"1 oz (30 ml) Purple Boston Glass Bottle","essentialnaturaloils.com",,2,6.96,0,0,6.96,0.54,7.5
"2 oz (60 ml) Green Boston Glass Bottle","essentialnaturaloils.com",,2,6.96,0,0,6.96,0.54,7.5
"1 oz (30 ml) Green Boston Glass Bottle","essentialnaturaloils.com",,2,6.96,0,0,6.96,0.54,7.5
"Myrrh Resinoid Oil","HBNO inc","Resinoid",1,757,0,-750,7,0,7
"Deep Floral Blend","essentialnaturaloils.com",,1,6.99,0,0,6.99,0,6.99
"Organic Minted Glow™ Hair Elixir","HBNO Bulk","Essential Oil",1,6.99,0,0,6.99,0,6.99
"Vitamin C Rose Geranium Facial Serum","HBNO Bulk","Essential Oil",1,6.99,0,0,6.99,0,6.99
"2 oz (60 ml) Yellow Boston Glass Bottle","essentialnaturaloils.com",,2,6.96,0,0,6.96,0,6.96
"Anxiety Relief Pure Blend","essentialnaturaloils.com",,1,6.99,-0.69,0,6.3,0.44,6.74
"Uplifting Essential Oil Blend","essentialnaturaloils.com",,1,6.99,-0.7,0,6.29,0.44,6.73
"Total Sensuality Blend","essentialnaturaloils.com",,1,6.99,-0.7,0,6.29,0.44,6.73
"Cleanse the Mind & Body Blend","essentialnaturaloils.com",,1,6.99,-0.7,0,6.29,0.44,6.73
"Energy & Uplifting Blend","essentialnaturaloils.com",,1,6.99,-0.7,0,6.29,0.44,6.73
"Sodium Citrate","HBNO Bulk","Aromatic Chemical",1,5.99,0,0,5.99,0.53,6.52
"Dirt Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0.49,5.49
"Sweet Pea Scent","HBNO inc","Fragrance",1,5,0,0,5,0.49,5.49
"Birthday Cake Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0.42,5.42
"Aniseed Essential Oil","HBNO inc","essential oil",1,5.99,-0.6,0,5.39,0,5.39
"Brandied Pear Natural Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0.39,5.39
"Melissa (Lemon Balm) Natural Fragrance","essentialnaturaloils.com","Fragrance",1,5,0,0,5,0.35,5.35
"Iced Oatmeal Cookie Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Raspberry Jam Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Lemonade Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Coconut Cream Pie Perfume","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Fall Spice Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Blue Tansy Scent","essentialnaturaloils.com","Fragrance",1,5,0,0,5,0,5
"Marshmallow Fluff Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Chamomile Natural Fragrance","essentialnaturaloils.com","Fragrance",1,5,0,0,5,0,5
"Hazelnut Fragrance","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Strawberry Shortcake Scent","HBNO inc","Fragrance",1,5,0,0,5,0,5
"Lotus Petals Natural Fragrance","essentialnaturaloils.com","Fragrance",1,5,0,0,5,0,5
"Pine Needle Fragrance","essentialnaturaloils.com","Fragrance",1,5,0,0,5,0,5
"30 Liter White Jerry Can Wrench","essentialnaturaloils.com",,1,4,0,0,4,0,4
"2 oz (60 ml) Orange Boston Glass Bottle","essentialnaturaloils.com",,1,3.48,0,0,3.48,0.26,3.74
"2 oz (60 ml) Blue Boston Glass Bottle","essentialnaturaloils.com",,1,3.48,0,0,3.48,0.26,3.74
"Spearmint Fragrance Oil","essentialnaturaloils.com","Fragrance",0,9.99,0,-9.99,0,0.67,0.67
"Wine Fragrance","HBNO inc","Fragrance",0,5,0,-5,0,0,0
"4 oz (120 ml) Green Boston Glass Bottle","essentialnaturaloils.com",,0,41.76,0,-41.76,0,0,0
"Frankincense Sacra Essential Oil","HBNO inc","essential oil",0,219.96,-2,-217.96,0,0,0
"Cypriol Essential Oil","HBNO inc","essential oil",0,25,0,-25,0,0,0
"Davana Essential Oil","HBNO inc","essential oil",0,7.99,0,-7.99,0,0,0
"Organic Lime Essential Oil","HBNO inc","essential oil",0,631.79,0,-631.79,0,0,0
"HBNO™ Biblical Harmony (Pure Essential Oil Blend)","HBNO inc","essential oil",0,17,0,-17,0,0,0
"Ravensara Essential Oil","HBNO inc","Essential Oil",0,375,0,-375,0,0,0
"Organic Hyssop Essential Oil","HBNO inc","essential oil",0,11.99,0,-11.99,0,0,0
"Organic Frankincense Frereana Essential Oil","HBNO inc","essential oil",0,19.99,0,-19.99,0,0,0
"Dill Weed Essential Oil","HBNO inc","Essential Oil",0,14.99,-1.49,-13.5,0,0,0
"Test 2","essentialnaturaloils.com",,6,2,0,-2,0,0,0
"Red Raspberry Seed Carrier Oil","HBNO inc","essential oil",0,71.65,0,-71.65,0,0,0
"Christmas Wreath Fragrance","HBNO inc","Fragrance",0,40,0,-40,0,0,0
"Kaffir Lime Essential Oil","HBNO inc","Essential Oil",0,30,-1.01,-28.99,0,0,0
"1 oz (30 ml) Blue Boston Glass Bottle","essentialnaturaloils.com",,0,6.96,0,-6.96,0,0,0
"Tuberose Absolute","HBNO inc","Absolute",0,110,0,-110,0,0,0
"HBNO® Angel Within","HBNO inc","essential oil",0,15,0,-15,0,0,0
"Woody Fragrance","HBNO inc","Fragrance",-1,0,0,-5,-5,0,-5
"Patchouli Fragrances","HBNO inc","Fragrance",-1,0,0,-9.99,-9.99,0,-9.99
"Clove Fragrance","HBNO inc","Fragrance",-1,0,0,-9.99,-9.99,0,-9.99
"Peppermint Fragrance","HBNO inc","Fragrance",-1,0,0,-9.99,-9.99,0,-9.99
"Basil Scent","HBNO inc","Fragrance",-1,0,0,-9.99,-9.99,0,-9.99
"Geranium Fragrance","HBNO inc","Fragrance",-1,0,0,-9.99,-9.99,0,-9.99
"New Car Fragrance","HBNO inc","Fragrance",2,44.98,-0.5,-69.48,-25,0.9,-24.1
"Asian Lily Fragrance","HBNO inc","Fragrance",-2,0,0,-65,-65,0,-65
