keyword,clicks,impressions,position,ctr,relevance_score,issues,severity,flagged
can i mix castor oil with coconut oil for skin,32,700,3.53,0.0457,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for skin,27,678,5.02,0.0398,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for skin overnight,25,760,4.03,0.0329,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for face,18,217,3.64,0.0828999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best carrier oil for castor oil for face,17,281,2.94,0.0605,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil mix benefits for skin,9,116,4.97,0.0776,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil for skin,10,659,2.34,0.0152,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mixing coconut oil and castor oil for skin,12,172,3.26,0.0698,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
which is better almond oil or jojoba oil for hair,7,330,5.65,0.0212,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for skin,7,505,5.39,0.0139,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is castor oil good for skin,5,225,7.23,0.0222,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil mix for skin,6,90,3.16,0.0667,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
frankincense carteri vs serrata for skin,6,270,4.39,0.0222,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
mustard oil vs castor oil for hair,6,201,5.29,0.0299,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
substitute for jojoba oil for hair,6,318,4.04,0.0189,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for hair,6,434,24.3,0.0138,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil and castor oil for skin,5,292,5.14,0.0171,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil for skin,5,455,2.46,0.011,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil for hair,5,872,3.11,0.0056999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs almond oil for hair,3,183,7.27,0.0163999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
can i mix castor oil and coconut oil for face,3,182,5.91,0.0165,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
aloe vera and tea tree oil for hair,3,219,5.89,0.0137,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for face,3,198,8.24,0.0152,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is castor oil good for face,3,154,32.51,0.0195,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil or mustard oil which is better for hair,4,295,5.22,0.0136,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to make sage oil for hair,4,276,8.77,0.0144999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
fenugreek oil for skin lightening,4,200,8.13,0.02,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil benefits for skin,4,376,2.83,0.0106,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil for face,4,819,31.11,0.0049,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs coconut oil for hair,4,552,7.55,0.0072,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what can i mix with castor oil for skin,5,73,4.19,0.0684999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mixing castor oil and coconut oil for skin,5,88,2.92,0.0567999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil vs mustard oil for hair,3,246,5.58,0.0121999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs coconut oil for skin,3,151,6.75,0.0199,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
essential oils to mix with coconut oil for skin,2,93,8.26,0.0215,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil alternative for skin,2,92,4.47,0.0217,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to make frankincense resin oil for skin,2,62,5.47,0.0323,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
diy lemongrass mosquito repellent,2,47,9.3,0.0426,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
can i mix castor oil and almond oil for face,2,83,7.34,0.0241,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for face wrinkles,2,65,2.85,0.0308,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and frankincense for face,2,8,2.0,0.25,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
aloe vera gel with tea tree oil for face,2,8,9.62,0.25,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
black seed oil benefits for hair,1,1051,59.34,0.001,30,"TOXIC_CONSUMER_MISALIGNMENT, POOR_PERFORMANCE",CRITICAL,True
black seed oil for face,1,1077,54.44,0.0009,30,"TOXIC_CONSUMER_MISALIGNMENT, POOR_PERFORMANCE",CRITICAL,True
jojoba oil and peppermint oil for hair,2,12,6.25,0.1667,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba and castor oil mix for face,2,13,5.31,0.1538,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what oil to mix with castor oil for face,2,20,5.3,0.1,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best non comedogenic oil for face,2,24,50.46,0.0833,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what to mix with castor oil for face,2,255,5.22,0.0078,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to dilute castor oil for skin,2,235,6.45,0.0085,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
can i mix castor oil with mustard oil for hair growth,2,163,6.37,0.0123,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
aloe vera and tea tree oil for face,2,178,8.04,0.0112,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to use chamomile oil for hair,2,150,7.07,0.0133,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil and castor oil for face,2,111,7.94,0.018,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
sweet almond oil for hair,2,138,2.59,0.0144999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
tea tree oil and aloe vera for hair,2,147,5.28,0.0136,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
sweet almond oil vs jojoba oil for hair,2,104,6.6,0.0192,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut and castor oil for skin,2,103,6.67,0.0194,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what to mix with castor oil for skin,2,114,4.21,0.0175,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to use castor oil for hair growth and thickness,2,357,22.54,0.0056,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
which frankincense is best for skin,3,20,2.05,0.15,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
coconut oil and castor oil mix for face,3,40,4.75,0.075,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mustard oil and castor oil for hair,3,84,7.36,0.0356999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
frankincense oil for skin,3,93,2.94,0.0323,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
sage oil benefits for hair,1,118,18.87,0.0085,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil substitute for skin,1,116,4.06,0.0086,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to dilute castor oil for hair,1,113,3.15,0.0088,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil and frankincense for face,1,114,7.93,0.0088,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with frankincense for face,1,112,5.73,0.0089,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
chamomile oil benefits for hair,1,105,16.65,0.0095,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
organic rose water for hair,1,179,16.22,0.0056,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil and tea tree oil mix for face,1,109,7.51,0.0092,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
marula oil vs argan oil for hair,1,84,10.35,0.0118999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
diy peppermint oil spray,1,83,17.47,0.012,10,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
caster oil for face,1,82,39.84,0.0121999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jasmine essential oil for skin,1,85,36.39,0.0118,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil with coconut oil for face,1,86,5.34,0.0116,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil and castor oil for hair,1,86,33.12,0.0116,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to use chamomile for hair growth,1,85,9.89,0.0118,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
castor oil and mustard oil mix for hair,1,111,7.05,0.009,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil and rosemary oil for hair,1,77,14.1,0.013,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
benefits of castor oil for skin,1,76,2.32,0.0132,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
ylang ylang essential oil benefits for hair,1,76,39.5,0.0132,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
tea tree oil and rosemary oil for hair,1,80,19.49,0.0125,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut vs olive oil for hair,1,69,20.54,0.0144999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to make frankincense oil for face,1,56,8.54,0.0179,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and jojoba oil mix for face,1,52,7.46,0.0192,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
chamomile for hair,1,53,37.26,0.0189,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
jojoba oil and castor oil mix for face overnight,1,64,6.39,0.0156,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut and castor oil for face,1,65,9.49,0.0154,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
can we mix castor oil and mustard oil for hair,1,58,4.38,0.0172,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
carrier oils for skin,1,58,68.62,0.0172,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
almond oil or jojoba oil for hair,1,75,6.93,0.0133,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
aloe vera gel and tea tree oil for face,1,70,9.93,0.0143,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is jojoba oil good for skin,1,75,2.84,0.0133,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil and tea tree oil mix for hair,1,89,9.26,0.0112,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba vs coconut oil for hair,1,203,9.19,0.0049,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mustard oil vs coconut oil for hair,1,201,12.25,0.005,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil vs jojoba oil for skin,1,198,7.17,0.0051,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
ylang ylang for hair,1,197,44.87,0.0051,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
best carrier oil for castor oil for hair,1,177,7.03,0.0056,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
sage for hair,1,302,36.34,0.0033,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
diy beard oil,1,293,1.25,0.0034,10,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
peppermint oil bug spray for skin,1,168,7.62,0.006,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is castor oil a carrier oil for hair,1,137,8.85,0.0073,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
can i mix castor oil with argan oil for face,1,123,5.48,0.0081,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to use myrrh for skin,1,118,8.35,0.0085,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
can i mix almond oil with castor oil for face,1,122,7.23,0.0081999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what to mix castor oil with for skin,1,152,5.79,0.0066,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
substitute for jojoba oil for skin,1,140,3.94,0.0070999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
diy car air freshener,1,163,40.23,0.0060999999999999,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
almond oil vs jojoba oil for hair,1,177,6.43,0.0056,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
myrrh oil for skin lightening,1,324,7.4,0.0031,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
fenugreek oil for skin,1,522,39.23,0.0019,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
oregano oil for gum disease,1,335,23.8,0.003,30,TOXIC_MEDICAL_CLAIMS,CRITICAL,True
tea tree oil for hair side effects,1,366,10.64,0.0027,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
sage oil for hair,1,325,29.06,0.0031,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil vs jojoba oil for hair,1,331,7.42,0.003,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
chamomile oil for hair,1,590,17.78,0.0017,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
olive oil vs coconut oil for hair,1,291,22.48,0.0034,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
which is better coconut oil or jojoba oil for hair,1,741,10.18,0.0013,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
patchouli light vs dark,2,41,3.9,0.0487999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
how to make peppermint spray for bugs,3,827,17.38,0.0036,50,NOT_OIL_RELEVANT,MEDIUM,True
is rose geranium the same as geranium,3,132,6.83,0.0227,50,NOT_OIL_RELEVANT,MEDIUM,True
is geraniol safe for dogs,3,291,9.58,0.0103,50,NOT_OIL_RELEVANT,MEDIUM,True
geranium vs rose geranium,3,295,6.37,0.0102,50,NOT_OIL_RELEVANT,MEDIUM,True
rose floral water,3,254,22.3,0.0118,50,NOT_OIL_RELEVANT,MEDIUM,True
boswellia carterii vs boswellia serrata,3,155,9.61,0.0194,50,NOT_OIL_RELEVANT,MEDIUM,True
can cloves kill bed bugs,1,76,5.55,0.0132,50,NOT_OIL_RELEVANT,MEDIUM,True
difference between frankincense carterii and serrata,1,87,7.9,0.0115,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon scent perfume,1,98,63.8,0.0102,50,NOT_OIL_RELEVANT,MEDIUM,True
arandi ka tel aur nariyal ka tel,2,7,6.14,0.2857,50,NOT_OIL_RELEVANT,MEDIUM,True
homemade lemongrass mosquito repellent,2,21,11.29,0.0951999999999999,30,NOT_OIL_RELEVANT,MEDIUM,True
cara membuat minyak kemenyan,2,30,3.8,0.0667,50,NOT_OIL_RELEVANT,MEDIUM,True
rizinusöl wirkung,2,18,2.72,0.1110999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
basil perfume,1,850,51.12,0.0012,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
garlic home fragrance,2,68,5.26,0.0294,30,NOT_OIL_RELEVANT,MEDIUM,True
sandalwood soap recipe,2,71,15.77,0.0282,30,NOT_OIL_RELEVANT,MEDIUM,True
chocolate scent,2,76,51.71,0.0263,50,NOT_OIL_RELEVANT,MEDIUM,True
como hacer aceite de incienso casero,2,55,3.65,0.0364,50,NOT_OIL_RELEVANT,MEDIUM,True
पुदीने का तेल कैसे बनाएं,2,50,9.08,0.04,50,NOT_OIL_RELEVANT,MEDIUM,True
sage for grey hair,2,48,12.56,0.0417,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino sirve para el oido,2,42,3.38,0.0475999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
pfefferminzöl rewe,2,3,2.0,0.6667000000000001,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino para dolor de oido,2,83,4.37,0.0241,50,NOT_OIL_RELEVANT,MEDIUM,True
difference between geranium and rose geranium,2,77,6.4,0.026,50,NOT_OIL_RELEVANT,MEDIUM,True
frankincense carterii vs serrata,2,362,7.0,0.0055,50,NOT_OIL_RELEVANT,MEDIUM,True
schwarzkümmelöl gegen mücken,3,57,2.05,0.0526,50,NOT_OIL_RELEVANT,MEDIUM,True
rose geranium,3,42,4.26,0.0713999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
cara membuat kemenyan,3,93,7.27,0.0323,50,NOT_OIL_RELEVANT,MEDIUM,True
लोबान का तेल कैसे बनता है,3,80,6.11,0.0375,50,NOT_OIL_RELEVANT,MEDIUM,True
is geranium and rose geranium the same,3,74,5.54,0.0405,50,NOT_OIL_RELEVANT,MEDIUM,True
boswellia serrata vs carterii,2,181,8.53,0.011,50,NOT_OIL_RELEVANT,MEDIUM,True
boswellia carterii vs serrata,3,117,9.07,0.0256,50,NOT_OIL_RELEVANT,MEDIUM,True
como hacer aceite de limoncillo,3,103,6.76,0.0291,50,NOT_OIL_RELEVANT,MEDIUM,True
cedarwood fragrance,2,265,47.69,0.0075,50,NOT_OIL_RELEVANT,MEDIUM,True
patchouli,2,119,20.8,0.0168,50,NOT_OIL_RELEVANT,MEDIUM,True
frankincense serrata vs carterii,2,194,6.71,0.0103,50,NOT_OIL_RELEVANT,MEDIUM,True
frankincense carteri vs serrata,2,136,6.54,0.0147,50,NOT_OIL_RELEVANT,MEDIUM,True
where to buy cinnamon bark,2,19,39.21,0.1052999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
geraniol safe for dogs,2,276,8.25,0.0072,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino para oidos,3,118,4.33,0.0254,50,NOT_OIL_RELEVANT,MEDIUM,True
como hacer aceite de incienso,5,138,4.38,0.0362,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino oido,6,81,4.15,0.0741,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino para el oido,6,328,4.2,0.0183,50,NOT_OIL_RELEVANT,MEDIUM,True
difference between frankincense serrata and carteri,5,165,6.69,0.0302999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
pfefferminzöl kaufen,6,37,2.22,0.1621999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
frankincense serrata vs carteri,7,333,6.04,0.021,50,NOT_OIL_RELEVANT,MEDIUM,True
helichrysum gymnocephalum vs italicum,12,333,4.5,0.036,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino en el oido,12,159,3.22,0.0755,50,NOT_OIL_RELEVANT,MEDIUM,True
josef demangeat,36,371,3.25,0.0969999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
hnbo,17,870,3.7,0.0195,50,NOT_OIL_RELEVANT,MEDIUM,True
aceite de ricino para los oidos,8,148,4.2,0.0541,50,NOT_OIL_RELEVANT,MEDIUM,True
helichrysum italicum vs helichrysum gymnocephalum,7,203,5.32,0.0345,50,NOT_OIL_RELEVANT,MEDIUM,True
patchouli dark vs light,6,93,4.03,0.0645,50,NOT_OIL_RELEVANT,MEDIUM,True
is frankincense safe for dogs,4,1128,7.42,0.0034999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
lemongrass mosquito repellent recipe,4,31,10.0,0.129,30,NOT_OIL_RELEVANT,MEDIUM,True
schwarzkümmelöl mücken,4,55,2.11,0.0727,50,NOT_OIL_RELEVANT,MEDIUM,True
geranium vs rose geranium smell,4,92,5.66,0.0435,50,NOT_OIL_RELEVANT,MEDIUM,True
helichrysum gymnocephalum,4,153,9.88,0.0260999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
rose geranium vs geranium,4,253,6.29,0.0158,50,NOT_OIL_RELEVANT,MEDIUM,True
manfaat minyak nilam untuk rambut,5,38,4.82,0.1316,50,NOT_OIL_RELEVANT,MEDIUM,True
is citronella safe for dogs,4,2335,9.04,0.0017,50,NOT_OIL_RELEVANT,MEDIUM,True
hbbnod,4,15,1.53,0.2667,50,NOT_OIL_RELEVANT,MEDIUM,True
how to make peppermint spray,3,1346,19.38,0.0022,50,NOT_OIL_RELEVANT,MEDIUM,True
citronella fluid,1,119,20.18,0.0084,50,NOT_OIL_RELEVANT,MEDIUM,True
what scent goes well with eucalyptus,1,219,8.49,0.0046,50,NOT_OIL_RELEVANT,MEDIUM,True
is patchouli safe for dogs,1,535,11.35,0.0019,50,NOT_OIL_RELEVANT,MEDIUM,True
cardamom fragrance,1,789,41.93,0.0013,50,NOT_OIL_RELEVANT,MEDIUM,True
clary sage benefits,1,373,65.61,0.0027,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
lemon fragrance,1,522,20.58,0.0019,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon perfume,1,642,63.99,0.0016,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
is geranium safe for dogs,1,59,12.08,0.0169,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon scents,1,59,54.68,0.0169,50,NOT_OIL_RELEVANT,MEDIUM,True
peppermint spray for bugs recipe,1,67,9.21,0.0149,30,NOT_OIL_RELEVANT,MEDIUM,True
cloves,1,90,5.88,0.0111,50,NOT_OIL_RELEVANT,MEDIUM,True
how to use myrrh,1,102,3.56,0.0098,50,NOT_OIL_RELEVANT,MEDIUM,True
cedar wood fragrance,1,101,48.68,0.0098999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
sage leaves for grey hair,1,99,16.99,0.0101,50,NOT_OIL_RELEVANT,MEDIUM,True
cedarwood smell,1,99,38.16,0.0101,50,NOT_OIL_RELEVANT,MEDIUM,True
can dogs have frankincense,1,112,4.52,0.0089,50,NOT_OIL_RELEVANT,MEDIUM,True
geranium cologne,1,118,50.69,0.0085,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
himalayan cedarwood,1,118,43.42,0.0085,50,NOT_OIL_RELEVANT,MEDIUM,True
oregano for tooth infection,1,190,24.25,0.0053,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon scented perfume,1,159,65.86,0.0063,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
hbn products,1,145,28.87,0.0069,50,NOT_OIL_RELEVANT,MEDIUM,True
castor oul on feet,1,137,3.97,0.0073,50,NOT_OIL_RELEVANT,MEDIUM,True
citronella grass vs lemongrass,1,146,36.42,0.0068,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon perfumes,1,187,54.78,0.0053,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
helichrysum roll on,1,241,8.52,0.0040999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
garlic fragrance,1,239,5.93,0.0042,50,NOT_OIL_RELEVANT,MEDIUM,True
rose water drink,1,235,3.42,0.0043,50,NOT_OIL_RELEVANT,MEDIUM,True
cedarwood perfume,1,288,42.6,0.0034999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
black sunflower seeds for chickens,1,281,14.55,0.0036,50,NOT_OIL_RELEVANT,MEDIUM,True
cardamom perfume,1,266,74.85,0.0038,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
tea tree,1,259,71.99,0.0039,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
lemon scent,1,207,52.37,0.0048,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
peppermint,1,227,1.03,0.0044,50,NOT_OIL_RELEVANT,MEDIUM,True
tea tree and aloe vera,1,190,15.92,0.0053,50,NOT_OIL_RELEVANT,MEDIUM,True
sage soap benefits,1,206,8.97,0.0049,50,NOT_OIL_RELEVANT,MEDIUM,True
lemon fragrance perfume,1,177,58.58,0.0056,50,"NOT_OIL_RELEVANT, POOR_PERFORMANCE",MEDIUM,True
cedarwood scent,1,180,40.21,0.0056,50,NOT_OIL_RELEVANT,MEDIUM,True
lavender and cedarwood,1,174,23.88,0.0056999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
does patchouli repel mosquitoes,1,104,10.69,0.0096,50,NOT_OIL_RELEVANT,MEDIUM,True
is citronella bad for dogs,1,72,6.1,0.0139,50,NOT_OIL_RELEVANT,MEDIUM,True
how to make peppermint bug spray,1,72,11.0,0.0139,50,NOT_OIL_RELEVANT,MEDIUM,True
basil scented perfume,1,75,51.36,0.0133,50,NOT_OIL_RELEVANT,MEDIUM,True
frankincense,1,54,5.39,0.0185,50,NOT_OIL_RELEVANT,MEDIUM,True
ylang-ylang,1,69,74.83,0.0144999999999999,50,NOT_OIL_RELEVANT,MEDIUM,True
sp hb inc. chico ca,1,72,4.07,0.0139,50,NOT_OIL_RELEVANT,MEDIUM,True
carrier oil,3,2688,57.34,0.0011,80,POOR_PERFORMANCE,LOW,True
clove oil,2,4946,52.63,0.0004,80,POOR_PERFORMANCE,LOW,True
spearmint essential oil,1,1230,50.21,0.0008,80,POOR_PERFORMANCE,LOW,True
organic sage oil,1,484,71.5,0.0021,80,POOR_PERFORMANCE,LOW,True
where to buy clove oil,1,644,50.27,0.0016,80,POOR_PERFORMANCE,LOW,True
bergamot oil benefits,1,674,70.37,0.0015,80,POOR_PERFORMANCE,LOW,True
how to use sunflower oil,1,185,57.01,0.0054,80,POOR_PERFORMANCE,LOW,True
german chamomile oil,1,439,63.66,0.0023,80,POOR_PERFORMANCE,LOW,True
essential oils gift set,1,291,58.24,0.0034,80,POOR_PERFORMANCE,LOW,True
organic cinnamon oil,1,249,60.66,0.004,80,POOR_PERFORMANCE,LOW,True
lemon fragrance oil,1,120,62.78,0.0083,80,POOR_PERFORMANCE,LOW,True
himalayan cedarwood oil,1,123,79.46,0.0081,80,POOR_PERFORMANCE,LOW,True
buy peppermint oil,1,123,64.34,0.0081,80,POOR_PERFORMANCE,LOW,True
cedarwood fragrance oil,1,164,51.7,0.0060999999999999,80,POOR_PERFORMANCE,LOW,True
